Date,Close,bollinger_upper_band,bollinger_lower_band,bollinger_signal,bb_position
2018-03-02,46.02000045776367,45.762041996306756,41.09695763748231,-1.0,0
2018-03-05,50.41999816894531,46.578726609021516,40.96127278062693,-1.0,0
2018-03-06,49.599998474121094,47.2133124906999,41.18468670058429,-1.0,0
2018-03-07,50.720001220703125,47.93367236561945,41.37532688669989,-1.0,0
2018-03-08,52.25,48.79265516851238,41.57434426691242,-1.0,0
2018-03-09,52.4900016784668,49.533212121103574,42.13278748216791,-1.0,0
2018-03-12,53.189998626708984,50.25400323684831,42.77399625961164,-1.0,0
2018-03-13,51.83000183105469,50.68905817927967,43.52994168339123,-1.0,0
2018-03-14,54.61000061035156,51.48249255008266,43.98650731258824,-1.0,0
2018-03-15,54.84000015258789,52.18375965826269,44.5842403722549,-1.0,0
2018-03-16,54.88999938964844,52.84949625887037,44.97850361905932,-1.0,0
2018-03-19,54.58000183105469,53.39662414562922,45.47837585437078,-1.0,0
2018-03-20,57.689998626708984,54.28991077105295,45.861089061100365,-1.0,0
2018-03-21,57.09000015258789,54.97088659851275,46.479113401487254,-1.0,0
2018-03-22,55.15999984741211,55.3610975334558,47.11490229869752,0.0,0
2018-03-23,51.66999816894531,55.41864568827132,47.73835389974138,0.0,0
2018-03-26,53.54999923706055,55.601578822906106,48.25542076510659,0.0,0
2018-03-27,51.060001373291016,55.58526065381224,48.786739086788344,0.0,0
2018-03-28,47.38999938964844,55.53617741798517,48.969822337874206,1.0,1
2018-03-29,49.20000076293945,55.44428573238806,49.38071426761194,1.0,1
2018-04-02,47.68000030517578,55.3612459024764,49.62975408226481,1.0,1
2018-04-03,47.58000183105469,55.39261905920546,49.314381291746685,1.0,1
2018-04-04,47.66999816894531,55.4164121855147,49.097588134919874,1.0,1
2018-04-05,48.02000045776367,55.405780862705896,48.838219381434726,1.0,1
2018-04-06,45.869998931884766,55.37125939168916,48.23474074563995,1.0,1
2018-04-09,45.88999938964844,55.272103876537294,47.67389603190997,1.0,1
2018-04-10,47.79999923706055,55.06505725715283,47.3419427123296,0.0,1
2018-04-11,47.7599983215332,54.93337802456216,47.06662159396811,0.0,1
2018-04-12,49.689998626708984,54.60265973558056,46.905339684585456,0.0,1
2018-04-13,47.5,54.175005914798206,46.598993490109024,0.0,1
2018-04-16,47.029998779296875,53.69701621443164,46.290983129440434,0.0,1
2018-04-17,49.130001068115234,53.26643116110704,46.17656810647109,0.0,1
2018-04-18,51.380001068115234,52.44977769300219,46.36222181871656,0.0,1
2018-04-19,50.630001068115234,51.558084448662676,46.60791515460881,0.0,1
2018-04-20,51.459999084472656,51.006011197855216,46.78998832912232,-1.0,0
2018-04-23,50.349998474121094,50.86809171490319,46.79590784259193,0.0,0
2018-04-24,46.0099983215332,50.25601304018775,46.653986425754624,1.0,1
2018-04-25,44.75,50.011446488384834,46.26755284022845,1.0,1
2018-04-26,46.7400016784668,49.9981875485281,46.21581200896701,0.0,1
2018-04-27,47.56999969482422,49.9021723855147,46.14882706516889,0.0,1
2018-04-30,47.34000015258789,49.89000058844932,46.12699884697549,0.0,1
2018-05-01,48.20000076293945,49.91867511734543,46.16032421126785,0.0,1
2018-05-02,48.65999984741211,49.97096668175513,46.20703281470483,0.0,1
2018-05-03,49.209999084472656,50.04690988719142,46.25008947193945,0.0,1
2018-05-04,49.099998474121094,50.1405504000713,46.4794489132832,0.0,1
2018-05-07,51.119998931884766,50.411686328155284,46.731312939422835,-1.0,0
2018-05-08,53.31999969482422,50.9597318763561,46.735267436998384,-1.0,0
2018-05-09,54.2599983215332,51.58702757926615,46.75797173408834,-1.0,0
2018-05-10,54.650001525878906,52.127936896160875,46.71306270711061,-1.0,0
2018-05-11,54.72999954223633,52.6944315726968,46.86956798479832,-1.0,0
2018-05-14,54.279998779296875,53.146194744154926,47.14280481334019,-1.0,0
2018-05-15,54.650001525878906,53.57394485801564,47.26705474525584,-1.0,0
2018-05-16,56.59000015258789,54.120132037222334,47.241867474496416,-1.0,0
2018-05-17,54.81999969482422,54.451811548748026,47.329187825641625,-1.0,0
2018-05-18,55.040000915527344,54.748952766943,47.39004679055211,-1.0,0
2018-05-21,56.38999938964844,55.23219968597341,47.51079996307443,-1.0,0
2018-05-22,54.630001068115234,55.51132283231012,48.09367709139594,0.0,0
2018-05-23,55.09000015258789,55.699597260502436,48.93940267846241,0.0,0
