Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position
2019-05-10,65.98999786376953,20.0,100.0,0,0
2019-05-13,62.38999938964844,16.0,100.0,0,0
2019-05-14,64.11000061035156,12.0,96.0,0,0
2019-05-15,65.2300033569336,8.0,92.0,0,0
2019-05-16,66.4000015258789,4.0,88.0,0,0
2019-05-17,65.30999755859375,4.0,84.0,0,0
2019-05-20,64.38999938964844,4.0,80.0,0,0
2019-05-21,65.91999816894531,44.0,76.0,0,0
2019-05-22,66.45999908447266,40.0,72.0,0,0
2019-05-23,63.75,36.0,68.0,0,0
2019-05-24,64.66000366210938,32.0,64.0,0,0
2019-05-28,65.81999969482422,28.000000000000004,60.0,0,0
2019-05-29,63.22999954223633,24.0,56.00000000000001,0,0
2019-05-30,63.66999816894531,20.0,52.0,0,0
2019-05-31,61.95000076293945,16.0,100.0,0,0
2019-06-03,60.619998931884766,12.0,100.0,0,0
2019-06-04,63.38999938964844,8.0,96.0,0,0
2019-06-05,64.93000030517578,4.0,92.0,0,0
2019-06-06,65.7699966430664,12.0,88.0,0,0
2019-06-07,68.45999908447266,8.0,84.0,0,0
2019-06-10,70.37000274658203,100.0,80.0,0,0
2019-06-11,70.18000030517578,96.0,76.0,0,0
2019-06-12,70.45999908447266,100.0,72.0,0,0
2019-06-13,72.18000030517578,100.0,68.0,0,0
2019-06-14,71.58999633789062,96.0,64.0,0,0
2019-06-17,72.20999908447266,100.0,60.0,0,0
2019-06-18,71.81999969482422,96.0,56.00000000000001,0,0
2019-06-19,72.66000366210938,100.0,52.0,0,0
2019-06-20,74.41999816894531,100.0,48.0,0,0
2019-06-21,72.87000274658203,96.0,44.0,0,0
2019-06-24,72.70999908447266,92.0,40.0,0,0
2019-06-25,69.87000274658203,88.0,36.0,0,0
2019-06-26,69.94999694824219,84.0,32.0,0,0
2019-06-27,71.27999877929688,80.0,28.000000000000004,1,1
2019-06-28,72.52999877929688,76.0,24.0,0,1
2019-07-01,73.19999694824219,72.0,20.0,0,1
2019-07-02,73.97000122070312,68.0,16.0,0,1
2019-07-03,74.26000213623047,64.0,12.0,0,1
2019-07-05,74.30999755859375,60.0,8.0,0,1
2019-07-08,73.43000030517578,56.00000000000001,4.0,0,1
2019-07-09,77.95999908447266,100.0,4.0,0,1
2019-07-10,78.37000274658203,100.0,4.0,0,1
2019-07-11,79.44000244140625,100.0,4.0,0,1
2019-07-12,82.27999877929688,100.0,4.0,0,1
2019-07-15,82.16999816894531,96.0,48.0,0,1
2019-07-16,80.58999633789062,92.0,44.0,0,1
2019-07-17,80.87000274658203,88.0,40.0,0,1
2019-07-18,81.05999755859375,84.0,36.0,0,1
2019-07-19,78.51000213623047,80.0,32.0,0,1
2019-07-22,78.56999969482422,76.0,28.000000000000004,0,1
2019-07-23,78.83999633789062,72.0,24.0,0,1
2019-07-24,80.43000030517578,68.0,20.0,0,1
2019-07-25,80.0199966430664,64.0,16.0,0,1
2019-07-26,81.80999755859375,60.0,12.0,0,1
2019-07-29,80.19999694824219,56.00000000000001,8.0,0,1
2019-07-30,80.48999786376953,52.0,4.0,0,1
2019-07-31,80.41000366210938,48.0,4.0,0,1
2019-08-01,80.9800033569336,44.0,4.0,0,1
2019-08-02,69.5999984741211,40.0,100.0,0,1
2019-08-05,64.8499984741211,36.0,100.0,0,1
2019-08-06,64.5999984741211,32.0,100.0,0,1
2019-08-07,65.0,28.000000000000004,96.0,-1,0
2019-08-08,66.2699966430664,24.0,92.0,0,0
2019-08-09,65.01000213623047,20.0,88.0,0,0
2019-08-12,62.29999923706055,16.0,100.0,0,0
2019-08-13,63.0,12.0,96.0,0,0
2019-08-14,61.54999923706055,8.0,100.0,0,0
2019-08-15,62.0,4.0,96.0,0,0
2019-08-16,62.869998931884766,4.0,92.0,0,0
2019-08-19,64.08000183105469,36.0,88.0,0,0
2019-08-20,64.37000274658203,32.0,84.0,0,0
2019-08-21,65.41000366210938,28.000000000000004,80.0,0,0
2019-08-22,64.68000030517578,24.0,76.0,0,0
2019-08-23,61.779998779296875,20.0,72.0,0,0
2019-08-26,62.79999923706055,16.0,68.0,0,0
2019-08-27,61.75,12.0,64.0,0,0
2019-08-28,62.150001525878906,8.0,60.0,0,0
2019-08-29,62.84000015258789,4.0,56.00000000000001,0,0
2019-08-30,61.84000015258789,16.0,52.0,0,0
2019-09-03,61.130001068115234,12.0,100.0,0,0
2019-09-04,61.16999816894531,8.0,96.0,0,0
2019-09-05,63.02000045776367,4.0,92.0,0,0
2019-09-06,62.0,4.0,88.0,0,0
2019-09-09,61.470001220703125,16.0,84.0,0,0
2019-09-10,60.54999923706055,12.0,100.0,0,0
2019-09-11,59.20000076293945,8.0,100.0,0,0
2019-09-12,57.790000915527344,4.0,100.0,0,0
2019-09-13,58.290000915527344,36.0,96.0,0,0
2019-09-16,59.25,32.0,92.0,0,0
2019-09-17,59.599998474121094,28.000000000000004,88.0,0,0
2019-09-18,59.75,24.0,84.0,0,0
2019-09-19,59.029998779296875,20.0,80.0,0,0
2019-09-20,57.849998474121094,16.0,76.0,0,0
2019-09-23,56.7599983215332,12.0,100.0,0,0
2019-09-24,57.5,8.0,96.0,0,0
2019-09-25,58.5099983215332,4.0,92.0,0,0
2019-09-26,60.79999923706055,4.0,88.0,0,0
2019-09-27,60.75,36.0,84.0,0,0
2019-09-30,61.95000076293945,32.0,80.0,0,0
