Date,Close,ao,ao_signal,ao_position
2021-03-12,242.11000061035156,-14.406384232464973,0,0
2021-03-15,251.22999572753906,-7.694854826085731,0,0
2021-03-16,243.36000061035156,-1.9433249080882433,0,0
2021-03-17,246.47000122070312,0.7076761133530454,1,1
2021-03-18,224.3000030517578,0.22791222965017255,0,1
2021-03-19,224.83999633789062,-3.436234911750347,-1,0
2021-03-22,226.1300048828125,-7.865440189137189,0,0
2021-03-23,223.1999969482422,-12.387910147274255,0,0
2021-03-24,213.50999450683594,-17.4225580103257,0,0
2021-03-25,208.47000122070312,-21.659205806956578,0,0
2021-03-26,213.60000610351562,-23.54223444321576,0,0
2021-03-29,207.17999267578125,-25.39108752082376,0,0
2021-03-30,212.8300018310547,-26.880735285141895,0,0
2021-03-31,227.0500030517578,-25.450057759004494,0,0
2021-04-01,229.50999450683594,-21.00882249719956,0,0
2021-04-05,229.9499969482422,-16.10482406616211,0,0
2021-04-06,236.5,-10.32723613065832,0,0
2021-04-07,245.1199951171875,-3.205353770536533,0,0
2021-04-08,258.3699951171875,3.7188803280101013,1,1
2021-04-09,261.6499938964844,10.467821009018849,0,1
2021-04-12,265.20001220703125,17.468587000229775,0,1
2021-04-13,273.2300109863281,24.46423609116499,0,1
2021-04-14,258.3999938964844,28.910531167423045,0,1
2021-04-15,263.0799865722656,29.87056000653436,0,1
2021-04-16,256.1000061035156,28.874207530302158,0,1
2021-04-19,245.3300018310547,25.885148755241858,0,1
2021-04-20,245.5,21.1599994883818,0,1
2021-04-21,245.25,17.008028322107634,0,1
2021-04-22,245.11000061035156,13.340883277444277,0,1
2021-04-23,246.42999267578125,9.743207056382118,0,1
2021-04-26,255.77000427246094,8.586529496136848,0,1
2021-04-27,253.7899932861328,9.244823096780237,0,1
2021-04-28,254.1999969482422,10.142792735380283,0,1
2021-04-29,247.75999450683594,10.809997782987693,0,1
2021-04-30,244.82000732421875,10.78532216689166,0,1
2021-05-03,243.67999267578125,9.486498888801123,0,1
2021-05-04,231.19000244140625,6.307498662612005,0,1
2021-05-05,231.8699951171875,2.208175928452448,0,1
2021-05-06,223.9600067138672,-2.1851171156939415,-1,0
2021-05-07,233.35000610351562,-5.832263273351344,0,0
2021-05-10,216.42999267578125,-9.686763359518608,0,0
2021-05-11,220.64999389648438,-13.28561693079331,0,0
2021-05-12,206.6699981689453,-16.721529253791346,0,0
2021-05-13,197.1300048828125,-21.657176298253688,0,0
2021-05-14,207.85000610351562,-26.638853005801934,0,0
2021-05-17,202.9199981689453,-30.392646654914415,0,0
2021-05-18,203.16000366210938,-33.28779229556815,0,0
2021-05-19,200.11000061035156,-35.15440871294808,0,0
2021-05-20,204.91000366210938,-34.27446751314051,0,0
2021-05-21,200.00999450683594,-33.4784100700827,0,0
2021-05-24,210.9499969482422,-32.643381859274456,0,0
2021-05-25,216.1999969482422,-29.735353223015295,0,0
2021-05-26,222.33999633789062,-25.25320730770335,0,0
2021-05-27,220.89999389648438,-20.302091082404644,0,0
2021-05-28,222.52000427246094,-15.225179201013901,0,0
2021-06-01,221.9499969482422,-10.492413195441742,0,0
2021-06-02,220.41000366210938,-7.658618343577672,0,0
2021-06-03,211.42999267578125,-7.010382977653961,0,0
2021-06-04,213.69000244140625,-7.439147231158074,0,0
2021-06-07,216.9499969482422,-7.676117571662445,0,0
2021-06-08,214.1199951171875,-8.137294814165898,0,0
2021-06-09,210.2100067138672,-8.963530013140513,0,0
2021-06-10,217.13999938964844,-8.485911470301005,0,0
