Date,Close,RSI,rsi_signal,rsi_position
2021-05-24,210.9499969482422,43.653539347090486,0,1
2021-05-25,216.1999969482422,46.94514564140234,0,1
2021-05-26,222.33999633789062,50.581174880141255,0,1
2021-05-27,220.89999389648438,49.72054249845834,0,1
2021-05-28,222.52000427246094,50.73608234082969,0,1
2021-06-01,221.9499969482422,50.35072869957465,0,1
2021-06-02,220.41000366210938,49.26210305506156,0,1
2021-06-03,211.42999267578125,43.373169146921825,0,1
2021-06-04,213.69000244140625,45.15028697057088,0,1
2021-06-07,216.9499969482422,47.69997529786321,0,1
2021-06-08,214.1199951171875,45.71337474733124,0,1
2021-06-09,210.2100067138672,43.04591556232166,0,1
2021-06-10,217.13999938964844,48.75359877903952,0,1
2021-06-11,219.33999633789062,50.45122431925931,0,1
2021-06-14,230.9499969482422,58.30163538570723,0,1
2021-06-15,227.75,55.68294777618012,0,1
2021-06-16,225.11000061035156,53.54611816170726,0,1
2021-06-17,236.1300048828125,60.38076906286707,0,1
2021-06-18,237.0500030517578,60.89799845685567,0,1
2021-06-21,233.88999938964844,58.092669486040684,0,1
2021-06-22,235.97000122070312,59.417854737181706,0,1
2021-06-23,238.6999969482422,61.15411394457433,0,1
2021-06-24,244.14999389648438,64.42622813594855,0,1
2021-06-25,239.94000244140625,60.207299255472726,0,1
2021-06-28,246.60000610351562,64.20110598885978,0,1
2021-06-29,248.8699951171875,65.47307209137847,0,1
2021-06-30,243.8000030517578,60.3181495317248,0,1
2021-07-01,241.85000610351562,58.413207281178956,0,1
2021-07-02,241.0800018310547,57.63911102798673,0,1
2021-07-06,246.6999969482422,61.63527657443611,0,1
2021-07-07,244.63999938964844,59.42246457972975,0,1
2021-07-08,235.89999389648438,51.04855438325905,0,1
2021-07-09,241.88999938964844,55.66035043811599,0,1
2021-07-12,243.35000610351562,56.73039007994255,0,1
2021-07-13,241.42999267578125,54.85555813148536,0,1
2021-07-14,239.0,52.491172916312706,0,1
2021-07-15,235.16000366210938,48.90399848697754,0,1
2021-07-16,237.52000427246094,51.11509150389082,0,1
